ID,Expectation,isSuccess,code,message,type,data_code,value,value_unicode,data_type
40,True,False,422,Backend response:Invalid Request,,dkuz,FLxrZk,,
41,True,False,422,Backend response:Invalid Request,,JbI,,PzXXGoN,zgwGOu
42,True,False,422,Backend response:Invalid Request,,CiOIMB,,DC,
43,True,False,422,Backend response:Invalid Request,,XaAgkopnwf,,VWlZEmqH,kAqFNDfHLn
44,True,False,422,Backend response:Invalid Request,,EPd,,pHtEKCrk,
45,True,False,422,Backend response:Invalid Request,,Vfn,,,eJEvItxE
46,True,False,422,Backend response:Invalid Request,,RPsQKk,,,
47,True,False,422,Backend response:Invalid Request,,BNVNwe,,,lpCrmz
48,True,False,422,Backend response:Invalid Request,,QuGz,,,
49,True,False,422,Backend response:Invalid Request,,,XHQDn,oPdhOTRyC,gZoa
50,True,False,422,Backend response:Invalid Request,,,eMBe,GA,
51,True,False,422,Backend response:Invalid Request,,,n,p,FCpngWI
52,True,False,422,Backend response:Invalid Request,,,acmmGYggBq,djWaSNuqE,
53,True,False,422,Backend response:Invalid Request,,,dot,,hkPf
54,True,False,422,Backend response:Invalid Request,,,jmoxVcyA,,
55,True,False,422,Backend response:Invalid Request,,,ZbCnEfbooB,,QeNTNadL
56,True,False,422,Backend response:Invalid Request,,,uZ,,
57,True,False,422,Backend response:Invalid Request,,,,nzLFM,mwLHhOEK
58,True,False,422,Backend response:Invalid Request,,,,Tg,
59,True,False,422,Backend response:Invalid Request,,,,oMrZgWy,xaxXh
60,True,False,422,Backend response:Invalid Request,,,,tvRepJiR,
61,True,False,422,Backend response:Invalid Request,,,,,yLRZrpnRax
62,True,False,422,Backend response:Invalid Request,,,,,
63,True,False,422,Backend response:Invalid Request,,,,,ZpJfI
64,True,False,422,Backend response:Invalid Request,,,,,
65,True,False,400,Backend response:Duplicate Entry,ivnLJbbg,unJHW,lOP,RjK,
66,True,False,422,Backend response:Invalid Request,MjTQIc,,M,uSH,DWOWEWcNsv
67,True,False,422,Backend response:Invalid Request,,,XHQDn,oPdhOTRyC,gZoa
68,True,True,200,Backend response:Resource Created,,,,,
69,True,False,422,Backend response:Invalid Request,BXSoXbJimkQQPqJbeXAcVPUEeSqnhWEZNsDOFtOuckQCoyoMvilHyPozONjskOeEQdyywxYAxCmVnjfIQIyMebxteDBNroPmoDTlAvTbk,CyPkHNTFphVrVzZOCByaWwLjricucOwIzOaQTroyadnBjzwXYPFdsTeTJkarGYAWdblEImmmyVoHcrMUDQvPvBCLvjTkOcyoCyGNRuW,XrgLQtdGAfWzprLCZusUmRYNWviirRFsZFBmcFZFTKsBmDgZnlBsYefWrdAOYvbZNsKORsiRZSrXjngDTWEDguVUooapMDNMyEhNEFG,CsXStOLJOpkfrVyvNIUYZecHbKwxodbFqBWjvCnRcSlDUXyJdZjSSWxYmQwXGSxwyWWgkylPpCjfOBRGzFtZtwWcfhtdyXFGtLhHeinN,gnSQEQzzQymYItOvpiuwdSirHGJTjomBetmMsKNyDWgQGWOjZUuCrcbalDTkbAMDTpdLaQAibHcRPVukWYfJLBdeRsgBPibNXhldaNMpB
